BFD	RA	Dec	Diameter	mag	HD	HIP	Name
36 Cam	6.214183611	65.71842222		5.36	41927	29490	
71 Ori	6.247465556	19.15644722		5.2	43042	29650	
5 gam Mon	6.247592222	-6.274772222		3.99	43232	29651	
7 eta Gem	6.247970833	22.50682222		3.31	42995	29655	Tejat Prior
44 kap Aur	6.256302222	29.49808333		4.32	43039	29696	
72 f02 Ori	6.256980278	16.14318056		5.34	43153	29704	
40 Cam	6.261261667	59.99897222		5.37	42633	29730	
73 Ori	6.26249	12.55106667		5.44	43247	29736	
8 Gem	6.271956944	23.97002778		6.09	43261	29789	
74 k Ori	6.274060833	12.27216389		5.04	43386	29800	
kap Col	6.275871389	-35.14051667		4.37	43785	29807	
9 Gem	6.282973611	23.74091111		6.24	43384	29840	
75 l Ori	6.285172778	9.942388889		5.39	43525	29850	
42 Aur	6.292957222	46.42395		6.53	43244	29884	
6 Mon	6.293090278	-10.72498889		6.76	43760	29885	
1 Lyn	6.298561111	61.51528611		5.01	42973	29919	
43 Aur	6.304685	46.36044722		6.33	43380	29949	
10 Gem	6.315118611	23.60328611		6.58	43740	30003	
11 Gem	6.322026944	23.46940556		6.91	43818	30046	
12 Gem	6.322923333	23.27450556		6.95	43836	30049	
2 Lyn	6.327053056	59.01090833		4.44	43378	30060	
7 Mon	6.328555	-7.822908333		5.27	44112	30073	
1 zet CMa	6.338551944	-30.06337778		3.02	44402	30122	Furud
45 Aur	6.362813889	53.45217778		5.34	43905	30247	
4 Lyn	6.367656944	59.37207222		6.05	43812	30272	
del Col	6.368563056	-33.43640556		3.85	44762	30277	
3 Lyn	6.368914444	61.75999167		7.33	43749	30278	
pi.01 Dor	6.377298611	-69.98404444		5.56	45669	30321	
nu. Pic	6.382174167	-56.36995833		5.6	45229	30342	
13 mu. Gem	6.382665	22.51383056		2.87	44478	30343	Tejat Posterior
8 eps Mon	6.396135556	4.592866667		4.39	44769	30419	
46 psi01 Aur	6.414973056	49.28789444		4.92	44537	30520	
T Mon	6.420277778	7.085713889		6.26	44990	30541	
BL Ori	6.424492778	14.72199722		6.3	44984	30564	
pi.02 Dor	6.424618889	-69.69030556		5.37	46116	30565	
G Pup	6.428793889	-48.17689444		5.76	45572	30591	
RR Lyn	6.440510278	56.28509722		5.53	44691	30651	
5 Lyn	6.446909167	58.41740833		5.21	44708	30679	
9 Mon	6.450243333	-4.355658333		6.5	45418	30700	
77 Ori	6.453822222	0		5.19	45416	30717	
78 Ori	6.454330556	0		5.55	45433	30720	
15 Gem	6.462933889	20.78951944		6.54	45352	30757	
16 Gem	6.465741944	20.49631944		6.22	45394	30769	
10 Mon	6.465991389	-4.762152778		5.06	45546	30772	
lam CMa	6.469502222	-32.58006944		4.47	45813	30788	
48 RT Aur	6.476135556	30.49303611		5.75	45412	30827	
11 bet Mon	6.480395833	-7.034447222		3.76	45725	30867	
18 nu. Gem	6.482718889	20.21213333		4.13	45542	30883	
61 Pic	6.49125	-56.85276944		5.2	46355	30932	
47 Aur	6.500826111	46.68555278		5.88	45466	30972	
6 Lyn	6.513086111	58.16264167		5.86	45410	31039	
19 Gem	6.527065	15.90349722		6.38	46031	31105	
4 ksi01 CMa	6.530935556	-23.41843611		4.34	46328	31125	
mu. Pic	6.532863889	-58.75383333		5.69	46860	31137	
20 Gem	6.538484722	17.78434444		6.26	46136	31158	
12 Mon	6.538667778	4.856002778		5.88	46241	31159	
WW Aur	6.540884444	32.45490278		5.82	46052	31173	
13 Mon	6.548396667	7.332966667		4.47	46300	31216	
7 Lyn	6.5757775	55.35303889		6.45	46101	31359	
14 Mon	6.579533056	7.572483333		6.44	46642	31385	
N Car	6.582938611	-52.97560556		4.35	47306	31407	
5 ksi02 CMa	6.584272222	-22.96483056		4.54	46933	31416	
49 Aur	6.586683889	28.02231111		5.26	46553	31434	
23 Gem	6.600591111	16.79702222		6.73	46781	31525	
6 nu.01 CMa	6.606347222	-18.6599		5.71	47138	31564	
UU Aur	6.609121944	38.4455		5.4	46687	31579	
7 nu.02 CMa	6.611399444	-19.25588333		3.95	47205	31592	
11 Lyn	6.62733	56.85753333		5.87	46590	31665	
8 Lyn	6.628163333	61.48122778		5.94	46480	31676	
nu. Pup	6.629353056	-43.19593611		3.17	47670	31685	
8 nu.03 CMa	6.631505833	-18.237475		4.42	47442	31700	
53 Aur	6.639724167	28.98435		5.76	47152	31737	
Y Pup	6.643787778	-48.22017778		5.05	47973	31765	
51 Aur	6.644316111	39.39085556		5.7	47070	31771	
52 psi03 Aur	6.646994722	39.90256111		5.34	47100	31789	
50 psi02 Aur	6.655507778	42.48888333		4.8	47174	31832	
54 Aur	6.659199722	28.26313611		6.02	47395	31852	
zet Men	6.667468889	-80.81358889		5.61	50506	31897	
15 S Mon	6.682935	9.895055556		4.66	47839	31978	
25 Gem	6.689138333	28.19663889		6.45	47731	32019	
26 Gem	6.7067575	17.64530833		5.2	48097	32104	
55 psi04 Aur	6.7180475	44.52445		5.04	47914	32173	
27 eps Gem	6.732201667	25.131125		3.06	48329	32246	Mebsuta
30 Gem	6.733136944	13.22800556		4.49	48433	32249	
10 CMa	6.741240556	-31.07052222		5.23	48917	32292	
28 Gem	6.745961111	28.97093333		5.42	48450	32311	
31 ksi Gem	6.754823611	12.89559444		3.35	48737	32362	Alzirr
32 Gem	6.765055	12.69355833		6.47	48843	32404	
12 Lyn	6.770590556	59.44165278		4.86	48250	32438	
16 Mon	6.775670833	8.587155556		5.92	48977	32463	
56 psi05 Aur	6.778982778	43.57742222		5.24	48682	32480	
13 Lyn	6.780418889	57.16917778		5.34	48432	32489	
11 CMa	6.780858889	-14.42597222		5.28	49229	32492	
12 CMa	6.783745278	-21.0154		6.07	49333	32504	
O Car	6.788530278	-55.53998889		5.6	49877	32531	
17 Mon	6.788841667	8.037252778		4.77	49161	32533	
x Pup	6.789277778	-37.9297		5.27	49591	32537	
57 psi06 Aur	6.794327222	48.78947222		5.22	48781	32562	
18 Mon	6.79768	2.412161111		4.48	49293	32578	
alf Pic	6.803181667	-61.94133056		3.24	50241	32607	
33 Gem	6.830509722	16.20288611		5.87	49606	32753	
13 kap CMa	6.830684722	-32.50848611		3.5	50013	32759	
A Car	6.830920833	-53.62244722		4.41	50337	32761	
X Pup	6.8318375	-46.61456389		5.14	50223	32765	
tau Pup	6.832269167	-50.61455278		2.94	50310	32768	
35 Gem	6.840416111	13.413175		5.68	49738	32814	
58 psi07 Aur	6.846095278	41.78123889		4.99	49520	32844	
42 Cam	6.849191389	67.57194167		5.14	48879	32864	
iot Vol	6.857496111	-70.96341111		5.41	51557	32912	
36 d Gem	6.859179444	21.76114444		5.28	49908	32921	
34 the Gem	6.879816111	33.96125556		3.6	50019	33018	
59 Aur	6.883725556	38.86915556		6.1	50018	33041	
14 Lyn	6.884735278	59.44854722		5.34	49618	33048	
60 Aur	6.887053889	38.43801944		6.32	50037	33064	
15 CMa	6.892475	-20.22426389		4.82	50707	33092	
43 Cam	6.895068611	68.88831111		5.11	49340	33104	
61 psi08 Aur	6.899187222	38.50501944		6.46	50204	33133	
16 omi01 CMa	6.902209444	-24.18421111		3.89	50877	33152	
14 the CMa	6.903165833	-12.03863056		4.08	50778	33160	
38 e Gem	6.910732222	13.177825		4.73	50635	33202	
17 CMa	6.9174275	-20.404875		5.8	51055	33248	
37 Gem	6.921851944	25.37569444		5.74	50692	33277	
19 pi. CMa	6.927063889	-20.13649722		4.66	51199	33302	
18 mu. CMa	6.935179444	-14.04346667		5	51250	33345	Isida
20 iot CMa	6.935618056	-17.05423889		4.36	51309	33347	
psi09 Aur	6.942237778	46.27400278		5.85	50658	33377	
the Men	6.942909444	-79.42019167		5.45	54239	33384	
15 Lyn	6.954610833	58.42274722		4.35	50522	33449	
16 Lyn	6.9603075	45.09409722		4.9	50973	33485	
t Pup	6.973637778	-34.11170556		5.07	52092	33558	
39 Gem	6.979836111	26.081075		6.2	51530	33595	
62 Aur	6.984124167	38.052325		6.02	51440	33614	
40 Gem	6.991092222	25.91416667		6.4	51688	33650	
41 Gem	7.004395556	16.07899444		5.73	52005	33715	
23 Car	7.014302222	-51.40258889		5.14	53047	33779	
22 sig CMa	7.028651944	-27.93483333		3.49	52877	33856	
42 ome Gem	7.040216944	24.21544444		5.2	52497	33927	
19 Mon	7.048549722	-4.239238889		4.99	52918	33971	
24 omi02 CMa	7.050408889	-23.83329167		3.02	53138	33977	
23 gam CMa	7.062636944	-15.63328611		4.11	53244	34045	Muliphein
H Pup	7.06489	-49.58391667		4.92	53811	34059	
C Pup	7.067443333	-42.33727222		5.2	53704	34081	
43 zet Gem	7.068480833	20.57029167		4.01	52973	34088	Mekbuda
44 Gem	7.088435833	22.63745833		6	53257	34182	
D Pup	7.118632778	-40.89327222		5.8	54475	34339	
45 Gem	7.139455556	15.93067778		5.47	54131	34440	
25 del CMa	7.139857222	-26.39320833		1.83	54605	34444	Wezen
gam01 Vol	7.145105278	-70.49710833		5.68	55864	34473	
gam02 Vol	7.145795556	-70.498925		3.78	55865	34481	
A Pup	7.147518889	-39.65565278		4.83	54893	34495	
17 Lyn	7.160491667	60.79208611		6.64	53633	34572	
20 Mon	7.170467222	-4.237111111		4.91	54810	34622	
46 tau Gem	7.185658056	30.24516667		4.41	54719	34693	
47 Gem	7.189740833	26.85658611		5.75	54801	34722	
21 Mon	7.189893333	0		5.44	55057	34724	
63 Aur	7.194256944	39.32054444		4.91	54716	34752	
22 del Mon	7.197738889	0		4.15	55185	34769	
26 CMa	7.203393056	-25.94258889		5.91	55522	34798	
E Pup	7.204391111	-40.49880556		5.3	55719	34802	
48 Gem	7.207326944	24.12859722		5.85	55052	34819	
I Pup	7.209340556	-46.75930556		4.49	55892	34834	
49 Gem	7.213715278	25.74869722		7.06	55156	34861	
L01 Pup	7.220375278	-45.18274444		4.87	56022	34899	
51 Gem	7.222853889	16.15896667		5.07	55383	34909	
L02 Pup	7.225644444	-44.63974722		4.42	56096	34922	
27 CMa	7.23756	-26.35251667		4.42	56014	34981	
52 Gem	7.244994167	24.88498333		5.84	55621	35025	
28 ome CMa	7.246848333	-26.77266667		4.01	56139	35037	
24 Mon	7.255390833	0		6.42	56003	35080	
18 Lyn	7.265251111	59.63746667		5.2	55280	35146	
53 Gem	7.265879444	27.89741944		5.75	55870	35152	
145 CMa	7.276898889	-23.31559167		4.83	56577	35210	
del Vol	7.280507222	-67.95715		3.97	57623	35228	
pi. Pup	7.285710278	-37.09747778		2.71	56855	35264	
64 Aur	7.300614722	40.88338889		5.87	56221	35341	
M Pup	7.301180278	-43.98679722		5.86	57197	35347	
54 lam Gem	7.301549722	16.54038611		3.58	56537	35350	
v01 Pup	7.305108889	-36.73395556		4.65	57150	35363	
F Pup	7.309309167	-39.21028056		5.24	57240	35393	
v02 Pup	7.310606944	-36.74273889		5.11	57219	35406	
29 UW CMa	7.311216111	-24.5587		4.88	57060	35412	
30 tau CMa	7.311801944	-24.95438333		4.37	57061	35415	
R CMa	7.324495	-16.39525		5.7	57167	35487	
55 del Gem	7.335385833	21.98233889		3.5	56986	35550	Wasat
56 Gem	7.365795	20.44366111		5.09	57423	35699	
65 Aur	7.367393611	36.76058333		5.12	57264	35710	
20 Lyn	7.370448889	50.14769444		7.59	57066	35726	
47 Cam	7.371436389	59.901975		6.36	56820	35735	
19 Lyn	7.380790278	55.28430278		6.86	57102	35783	
19 Lyn	7.381126944	55.28139167		5.8	57103	35785	
58 Gem	7.391148889	22.94535278		6.17	57744	35842	
57 A Gem	7.391253333	25.05053333		5.04	57727	35846	
66 Aur	7.402352222	40.67238889		5.23	57669	35907	
59 Gem	7.409292778	27.63785278		5.77	57927	35941	
1 CMi	7.416161111	11.66952222		5.37	58187	35987	
eps Men	7.427249444	-79.09418889		5.54	60816	36039	
2 eps CMi	7.427471389	9.276097222		4.99	58367	36041	
60 iot Gem	7.428776667	27.79808611		3.78	58207	36046	Propus
21 Lyn	7.445236667	49.21152222		4.61	58142	36145	
61 Gem	7.448981111	20.25755556		5.94	58579	36156	
3 bet CMi	7.452519444	8.289405556		2.89	58715	36188	Gomeisa
63 Gem	7.462321389	21.44526389		5.2	58728	36238	
5 eta CMi	7.467242778	6.941975		5.22	58923	36265	
4 gam CMi	7.469387222	8.925530556		4.33	58972	36284	
y Pup	7.484915278	-38.81206667		5.41	59635	36363	
62 rho Gem	7.485199167	31.78453056		4.16	58946	36366	
sig Pup	7.487175278	-43.30143889		3.25	59717	36377	
64 Gem	7.489011111	28.118275		5.07	59037	36393	
6 CMi	7.496606389	12.00656111		4.55	59294	36425	
65 b Gem	7.496878333	27.91613889		5.01	59148	36429	
22 Lyn	7.498876667	49.67246111		5.35	58855	36439	
U Mon	7.513185556	-9.776891667		6.81	59693	36521	
VZ Cam	7.517905833	82.41146667		4.92	55966	36547	
7 del01 CMi	7.534985556	1.914477778		5.24	59881	36641	
8 del02 CMi	7.553240556	3.290380556		5.59	60111	36723	
68 Gem	7.560134722	15.82666111		5.27	60107	36760	
z Pup	7.564178611	-36.33839444		5.42	60606	36778	
9 del03 CMi	7.571081389	3.371725		5.83	60357	36812	
n Pup	7.571839167	-23.47366111		5.06	60584	36817	
p Pup	7.589693889	-28.36931944		4.65	60863	36917	
Q Car	7.594367778	-52.53383333		4.93	61248	36942	
69 ups Gem	7.598708333	26.89574444		4.06	60522	36962	
y02 Pup	7.612199722	-48.83016944		5.69	61391	37043	
25 Mon	7.621303056	-4.110980556		5.14	61064	37088	
f Pup	7.622807778	-34.96852222		4.53	61330	37096	
m Pup	7.638346667	-25.36478889		4.69	61429	37173	
y03 Pup	7.638391389	-48.60143889		5.68	61715	37174	
70 Gem	7.642461944	35.04854722		5.58	60986	37204	
e Pup	7.645527222	-36.49683056		5.78	61641	37223	
kap01 Pup	7.64705	-26.80180278		3.8	61555	37229	Markeb
71 omi Gem	7.652758889	34.58436389		4.89	61110	37265	
d01 Pup	7.657593889	-38.308025		4.84	61831	37297	
74 f Gem	7.6579425	17.67451667		5.04	61338	37300	
d02 Pup	7.662170556	-38.13928611		5.73	61878	37322	
d03 Pup	7.663298889	-38.26065556		5.76	61899	37329	
d04 Pup	7.666108611	-37.57942222		5.99	61925	37345	
140 Pup	7.673113889	-15.263925		4.98	61772	37379	
23 Lyn	7.680425833	57.08286389		6.09	61106	37406	
26 alf Mon	7.687453611	-9.551130556		3.94	61935	37447	
zet Vol	7.697017222	-72.60609722		3.93	63295	37504	
24 Lyn	7.716793333	58.71048333		4.93	61497	37609	
75 sig Gem	7.721868611	28.88352778		4.23	62044	37629	
1 Pup	7.725665278	-28.41095556		4.63	62576	37648	
W Pup	7.728313611	-40.93374444		5.12	62713	37664	
3 l Pup	7.730131111	-28.95483333		3.94	62623	37677	
76 c Gem	7.735253889	25.78415833		5.3	62285	37704	
77 kap Gem	7.740791944	24.398		3.57	62345	37740	
79 Gem	7.7525925	20.31604722		6.53	62510	37811	
c Pup	7.754249167	-37.96858333		3.62	63032	37819	
2 Pup	7.757982778	-14.68614722		7.03	62863	37842	
2 Pup	7.758093889	-14.69053333		6.06	62864	37843	
171 Pup	7.759718056	-34.17239722		5.36	63077	37853	
4 Pup	7.7657975	-14.56380556		5.03	62952	37891	
81 g Gem	7.768735278	18.51003889		4.89	62721	37908	
11 CMi	7.771166667	10.76825556		5.25	62832	37921	
49 Cam	7.774281944	62.83052222		6.5	62140	37934	
51 Cam	7.777799444	65.455675		5.93	62066	37949	
80 pi. Gem	7.791756667	33.41570278		5.14	62898	38016	
5 Pup	7.799086944	-12.19275556		5.48	63336	38048	
omi Pup	7.8014375	-25.93718056		4.4	63462	38070	
Q Pup	7.805600278	-47.07772778		4.69	63744	38089	
82 Gem	7.809344722	23.14098333		6.18	63208	38106	
188 Pup	7.8171325	-24.9122		5.32	63660	38146	
P Pup	7.820638056	-46.37320556		4.1	63922	38164	
7 ksi Pup	7.821571111	-24.85978611		3.34	63700	38170	Azmidiske
6 Pup	7.828111389	-17.22840556		5.17	63697	38211	
8 Pup	7.861358056	-12.81940833		6.37	64077	38372	
13 zet CMi	7.861663056	1.766866667		5.12	63975	38373	
9 Pup	7.862860833	-13.89799444		5.16	64096	38382	
a Pup	7.870288056	-40.57578056		3.71	64440	38414	
212 Pup	7.871018611	-34.70541944		5.01	64379	38423	
10 Pup	7.871910556	-14.846175		5.69	64238	38427	
b Pup	7.877401667	-38.86281389		4.49	64503	38455	
J Pup	7.888377222	-48.10294167		4.22	64760	38518	
83 phi Gem	7.891615556	26.76579167		4.97	64145	38538	
25 Lyn	7.908128889	47.38598056		6.25	64106	38623	
26 Lyn	7.911860278	47.5646		5.47	64144	38639	
85 Gem	7.927748611	19.88397222		5.38	64648	38722	
chi Car	7.946309444	-52.98235		3.46	65575	38827	
11 j Pup	7.947649722	-22.88012222		4.2	65228	38835	
1 Cnc	7.949848056	15.79028611		5.8	64960	38848	
N Pup	7.9551175	-44.10986389		5.08	65551	38872	
chi Pup	7.961140556	-30.33456667		4.76	65456	38901	
O Pup	7.964366667	-45.57766667		5.14	65685	38917	
V Pup	7.970676667	-49.24491389		4.47	65818	38957	
14 CMi	7.972404167	2.224758333		5.3	65345	38962	
12 Pup	7.984920556	-23.31039444		5.09	65699	39023	
27 Mon	7.995598056	-3.679583333		4.93	65695	39079	
D Car	8.005546944	-63.5675		4.81	66591	39138	
3 Cnc	8.013140833	17.3087		5.6	65759	39177	
2 ome Cnc	8.015520556	25.39283611		5.87	65714	39191	
28 Mon	8.020371111	-1.392602778		4.69	65953	39211	
5 Cnc	8.025080278	16.45530833		5.99	65873	39236	
53 Cam	8.02846	60.32435556		6.02	65339	39261	
4 Cnc	8.028821389	25.08946667		6.32	65856	39263	
G CMi	8.03776	2.334561111		4.39	66141	39311	
54 Cam	8.043272778	57.273625		6.48	65626	39348	
chi Gem	8.058634722	27.79431944		4.94	66216	39424	
14 Pup	8.078171944	-19.72815278		6.12	66834	39524	
8 Cnc	8.084580278	13.11821667		5.14	66664	39567	
9 Cnc	8.105109722	22.63548889		5.96	66875	39659	
28 Lyn	8.119429167	43.26036389		6.35	66824	39722	
15 rho Pup	8.125750278	-24.30443056		2.83	67523	39757	
10 mu. Cnc	8.129404167	21.58181944		5.3	67228	39780	
eps Vol	8.132166944	-68.61706667		4.35	68520	39794	
27 Lyn	8.1409575	51.50666944		4.78	67006	39847	
29 zet Mon	8.143235833	-2.983786111		4.36	67594	39863	
12 Cnc	8.145123889	13.64091111		6.25	67483	39874	
B Car	8.150185	-61.30241389		4.74	68456	39903	
16 Pup	8.150454167	-19.24501389		4.4	67797	39906	
13 psi01 Cnc	8.170306944	25.84448056		6.44	67690	40007	
14 psi Cnc	8.1742175	25.50734167		5.73	67767	40023	
18 Pup	8.177729444	-13.79920833		5.53	68146	40035	
19 Pup	8.187863056	-12.92699722		4.72	68290	40084	
h01 Pup	8.189303889	-39.61854722		4.44	68553	40091	
AH Vel	8.199991111	-46.64435		5.77	68808	40155	
16 zet02 Cnc	8.203552778	17.64757222		5.63	68256	40167	
16 zet01 Cnc	8.203552778	17.64757222		6.02	68257	40167	Tegmine
55 Cam	8.213551944	68.47406944		5.34	67447	40215	
15 Cnc	8.219129722	29.65654167		5.62	68351	40240	
20 Pup	8.222213333	-15.78822222		4.99	68752	40259	
r Pup	8.224866111	-35.89951389		4.78	68980	40274	
16 Vel	8.226179444	-50.19606944		5.52	69194	40282	
h02 Pup	8.234145	-40.34789167		4.42	69142	40326	
C Car	8.254418889	-62.91561944		5.16	69863	40429	
56 Cam	8.264028889	60.38060278		6.43	68457	40474	
17 bet Cnc	8.275255833	9.185552778		3.53	69267	40526	 Al Tarf
21 Pup	8.289758611	-16.28511111		6.32	69665	40604	
29 Lyn	8.297337222	59.57113333		5.63	68930	40646	
alf Cha	8.308764444	-76.91972778		4.05	71243	40702	
q Pup	8.309253611	-36.65928611		4.44	70060	40706	
57 Cam	8.321433333	62.50716389		5.73	69148	40772	
kap01 Vol	8.3302675	-71.51490833		5.33	71046	40817	
kap02 Vol	8.333480556	-71.50538611		5.63	71066	40834	
18 chi Cnc	8.334405833	27.21776389		5.13	69897	40843	
30 Lyn	8.340571944	57.74327778		5.89	69548	40875	
19 lam Cnc	8.34226	24.02231389		5.92	70011	40881	
the Cha	8.344038611	-77.484475		4.34	71701	40888	
w Pup	8.356396111	-33.05436667		4.83	70555	40945	
eta Vol	8.367905	-73.39998611		5.28	71576	41003	
B Vel	8.375473056	-48.49041944		4.79	70930	41039	
22 Pup	8.379679722	-13.05478611		6.13	70673	41067	
31 Lyn	8.380586389	43.18814167		4.25	70272	41075	Alsciaukat
20 d01 Cnc	8.389399722	18.33220833		5.94	70569	41117	
21 Cnc	8.398647778	10.63200556		6.11	70734	41163	
1 Hya	8.409726389	-3.751238889		5.61	70958	41211	
C Hya	8.427685833	-3.906363889		3.91	71155	41307	
bet Vol	8.428943333	-66.13689444		3.77	71878	41312	
25 d02 Cnc	8.430521111	17.04628056		6.11	71030	41319	
2 Hya	8.440889167	-3.987438889		5.6	71297	41375	
22 phi01 Cnc	8.441028889	27.89359444		5.58	71093	41377	
24 Cnc	8.444386667	24.53417222		6.51	71152	41389	
27 Cnc	8.445538889	12.65462222		5.56	71250	41400	
23 phi02 Cnc	8.446343333	26.93434167		6.3	71150	41404	
F Vel	8.460162222	-53.08848333		5.08	71935	41483	
28 Cnc	8.476885	24.14492778		6.05	71496	41574	
29 Cnc	8.477038611	14.210825		5.94	71555	41578	
A Vel	8.484655556	-47.92890556		5.33	72108	41616	
1 omi UMa	8.504452222	60.71841389		3.35	71369	41704	Muscida
30 ups01 Cnc	8.525143889	24.08111389		5.71	72041	41816	
31 the Cnc	8.526591667	18.094425		5.33	72094	41822	
34 Cnc	8.544408611	10.06600556		6.48	72359	41904	
33 eta Cnc	8.545138056	20.44116667		5.33	72292	41909	
32 ups02 Cnc	8.550028889	24.08479444		6.35	72324	41940	
32 Lyn	8.556035833	36.43643056		6.2	72291	41975	
2 A UMa	8.576698889	65.14512778		5.47	72037	42080	
C Vel	8.578776667	-49.9442		5.01	73155	42088	
33 Lyn	8.578856667	36.41962222		5.76	72524	42090	
e01 Car	8.587654444	-58.22473611		5.27	73390	42129	
35 Cnc	8.588735	19.59006389		6.55	72779	42133	
e02 Car	8.588807778	-58.00923333		4.84	73389	42134	
3 Hya	8.591166389	-7.982294444		5.72	72968	42146	
E Vel	8.597785278	-50.96965		5.79	73340	42177	
36 c Cnc	8.618269444	9.655580556		5.92	73143	42265	
e Vel	8.627397778	-42.98908056		4.11	73634	42312	
4 del Hya	8.627602222	5.703786111		4.14	73262	42313	
eta Pyx	8.631153333	-26.25500278		5.24	73495	42334	
37 Cnc	8.63477	9.574616667		6.54	73316	42353	
5 sig Hya	8.645954722	3.341438889		4.45	73471	42402	Minchir
the Vol	8.651434167	-70.38674444		5.19	74405	42425	
3 pi.01 UMa	8.653250556	65.02090833		5.63	72905	42438	
zet Pyx	8.661798333	-29.56109444		4.86	73898	42483	
38 Cnc	8.661848611	19.77845556		6.65	73575	42485	
6 a Hya	8.667075556	-12.475375		4.98	73840	42509	
bet Pyx	8.668373056	-35.30835278		3.97	74006	42515	
39 Cnc	8.668449722	20.00778889		6.39	73665	42516	
40 Cnc	8.669848056	19.97113333		6.61	73666	42523	
4 pi.02 UMa	8.670228611	64.32793611		4.59	73108	42527	
omi Vel	8.671551389	-52.92191111		3.6	74195	42536	
41 eps Cnc	8.674169722	19.54480833		6.29	73731	42556	Praesepe
d Car	8.676951667	-59.761		4.31	74375	42568	
b Vel	8.677102778	-46.64874444		3.77	74180	42570	
42 Cnc	8.678668611	19.71931667		6.83	73785	42578	
34 Lyn	8.683630556	45.83400556		5.35	73593	42604	
n Vel	8.686981389	-47.31712222		4.74	74272	42624	
eta Cha	8.688754167	-78.96335833		5.46	75416	42637	
9 Hya	8.695371111	-15.94338333		4.87	74137	42662	
9 Cha	8.720061111	-79.07008333		6.05	75747	42794	
45 A01 Cnc	8.720091389	12.680875		5.62	74228	42795	
7 eta Hya	8.720409722	3.398661111		4.3	74280	42799	
43 gam Cnc	8.721429444	21.46850278		4.66	74198	42806	Asellus Borealis
alf Pyx	8.726538056	-33.18638611		3.68	74575	42828	
D Vel	8.727853056	-49.82280278		5.15	74753	42834	
F Hya	8.727881389	-7.233727778		4.63	74395	42835	
d Vel	8.739985278	-42.64927778		4.05	74772	42884	
47 del Cnc	8.744750278	18.15434722		3.94	74442	42911	Asellus Australis
49 b Cnc	8.745843333	10.08166667		5.63	74521	42917	
10 Hya	8.750355556	5.680586111		6.13	74591	42931	
46 Cnc	8.755950833	30.69775278		6.12	74485	42954	
a Vel	8.767123333	-46.04153056		3.87	75063	43023	
12 D Hya	8.7729275	-13.54773333		4.32	74918	43067	
48 iot Cnc	8.777771389	28.76506944		6.58	74738	43100	
48 iot Cnc	8.778283056	28.75990556		4.03	74739	43103	
f Car	8.778485833	-56.76978056		4.5	75311	43105	
11 eps Hya	8.779591111	6.418788889		3.38	74874	43109	
50 A02 Cnc	8.7822275	12.10996111		5.89	74873	43121	
13 rho Hya	8.807213889	5.837816667		4.35	75137	43234	
14 Hya	8.822701667	-3.443022222		5.3	75333	43305	
h Vel	8.827544444	-40.32015833		5.47	75630	43325	
g Vel	8.829899444	-45.307875		4.94	75710	43347	
gam Pyx	8.842201111	-27.70984722		4.02	75691	43409	
f Vel	8.842628056	-46.52918889		5.09	75821	43413	
54 Cnc	8.850406667	15.35065		6.36	75528	43454	
52 Cnc	8.853001389	15.99942778		7.63	75558	43463	
15 Hya	8.859558056	-7.17725		5.55	75737	43496	
35 Lyn	8.865786389	43.7266		5.15	75506	43531	
53 Cnc	8.874608611	28.25915833		6.25	75716	43575	
51 sig01 Cnc	8.876283889	32.47415833		5.67	75698	43584	
55 rho01 Cnc	8.876614722	28.33085556		5.96	75732	43587	
5 b UMa	8.889599722	61.96226944		5.72	75486	43644	
57 Cnc	8.904091389	30.57910833		5.4	75959	43721	
c Car	8.917453333	-60.64461389		3.84	76728	43783	
X Cnc	8.9230225	17.231275		6.28	76221	43811	
16 zet Hya	8.923233056	5.945511111		3.11	76294	43813	
17 Hya	8.92489	-7.971094444		6.07	76369	43822	
del Pyx	8.925435556	-27.68186111		4.87	76483	43825	
58 rho02 Cnc	8.927688611	27.92749167		5.23	76219	43834	
60 Cnc	8.932096944	11.626025		5.44	76351	43851	
H Vel	8.938654444	-52.72289167		4.68	76805	43878	
6 UMa	8.943734444	64.60381667		5.57	75958	43903	
zet Oct	8.944719444	-85.66315		5.43	79837	43908	
59 sig02 Cnc	8.949055	32.91043889		5.44	76398	43932	
b01 Car	8.949560278	-59.22933611		4.93	77002	43937	
62 omi01 Cnc	8.954152778	15.32276111		5.22	76543	43970	
63 omi02 Cnc	8.959778056	15.58128333		5.68	76582	44001	
61 Cnc	8.966296389	30.23381667		6.25	76572	44031	
65 alf Cnc	8.974782778	11.85769167		4.26	76756	44066	Acubens
9 iot UMa	8.9868925	48.04231389		3.12	76644	44127	Talitha
b02 Car	8.990050556	-59.08370556		5.17	77370	44143	
64 sig03 Cnc	8.992403611	32.41856389		5.23	76813	44154	
w Vel	9.001502222	-41.25360833		4.45	77258	44191	
10 UMa	9.010757222	41.78339444		3.96	76943	44248	
66 Cnc	9.023368611	32.2523		5.89	77104	44307	
67 Cnc	9.030232778	27.90259722		6.07	77190	44342	
alf Vol	9.040776667	-66.39606944		4	78045	44382	
8 rho UMa	9.042414722	67.62961667		4.74	76827	44390	
69 nu. Cnc	9.045629444	24.45291389		5.45	77350	44405	
12 kap UMa	9.0604325	47.15665		3.57	77327	44471	
c Vel	9.069244722	-47.09773889		3.75	78004	44511	
70 Cnc	9.0694075	27.89830833		6.67	77557	44512	
G Car	9.085780833	-72.60270278		4.47	78791	44599	
